Restaurant/Tapas Bar,Rating,Number of Reviews,Cuisine Type,Price Range,Tripadvisor Ranking
La Vieja Bodega,4.5,1137,Restaurantes en Santo Domingo de la Calzada,€€€€,
Restaurante Los Caballeros,4.5,740,"Restaurante de carne, Mediterránea",€€ - €€€,1.0
Hidalgo,4.0,470,"Mediterránea, Europea",€,2.0
Restaurante Casa Amparo,4.0,284,"Española, Saludable",€,3.0
La Cancela,4.0,365,"Restaurante de carne, Mediterránea",€€ - €€€,4.0
El Sarmiento Azul Mediterráneo,4.5,52,"Mediterránea, Española",€€ - €€€,5.0
Restaurante Parador de Santo Domingo de la Calzada,4.0,254,"Restaurante de carne, Mediterránea",€€ - €€€,6.0
La Strada,4.5,418,"Española, Saludable",€€ - €€€,7.0
Brasería Gran Ferretería,3.5,238,"Italiana, Pizza",€€ - €€€,8.0
Restaurante Cafetería Arcaya,4.0,136,"Restaurante de carne, Española",€,9.0
Restaurante Bar Piedra,4.0,230,"Restaurante de carne, Mediterránea",€€ - €€€,10.0
Nk Gipuzkoa,4.5,10,"Mediterránea, Española",€€ - €€€,11.0
Cervecería Capota,3.5,203,"Mediterránea, Española",€,12.0
Bar Echegoyen,4.0,14,,€,13.0
La Gallina que canto,3.5,201,"Bar, Mediterránea",€,14.0
Bar-Restaurante El Marquesito,3.5,115,"Bar, Café",€€ - €€€,15.0
CAFE MIGUEL,3.5,38,,€,16.0
Tertulia,4.0,30,"Mediterránea, Europea",€€ - €€€,17.0
Bar La Calzada,3.5,3,"Mediterránea, Española",€,18.0
Genesis,4.0,20,"Bar, Comida rápida",€,19.0
Cervecería Titanic,3.0,102,Bar,€€ - €€€,20.0
Cafeteria Eibarresa,3.5,15,Española,€€ - €€€,21.0
Tu y Yo,3.5,43,Española,,22.0
Bar La Catedral,4.0,1,Española,,23.0
Bar La Rueda,3.5,12,Española,,24.0
Café la Torre,4.0,2,,,25.0
Bar Dados,2.5,23,"Bares y pubs, Mediterránea",,26.0
Cafeteria Espolon,2.0,46,,,27.0
Gambrinus,3.0,49,Española,,28.0
Pasteleria Isasi,1.0,1,,,29.0
Café Bar Carmen,0,0 opiniones,Española,,30.0
